基金代码,基金简称,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,自定义,手续费
002168,嘉实智能汽车股票,3.7950,3.7950,-0.78%,7.26%,26.33%,44.46%,50.42%,93.72%,237.93%,148.04%,5.50%,279.50%,93.7213%,0.15%
001000,中欧明睿新起点混合,2.23,2.23,0.09%,9.10%,26.27%,34.66%,39.03%,90.60%,239.94%,93.41%,7.21%,123%,90.5983%,0.15%
398051,中海环保新能源混合,2.22,2.22,-0.72%,6.63%,26.21%,45.29%,62.52%,105.75%,183.89%,120.90%,4.72%,122%,105.7461%,0.15%
005977,中信保诚至兴混合A,1.9963,1.9963,0.10%,10.86%,26.20%,41.15%,52.79%,80.81%,97.52%,---,7.12%,99.63%,80.8079%,0.15%
005978,中信保诚至兴混合C,1.9540,1.9540,0.10%,10.85%,26.11%,40.85%,52.18%,79.38%,94.16%,---,7.10%,95.40%,79.3813%,0.00%
006299,恒越核心精选混合A,2.2884,2.2884,0.66%,10.38%,26.09%,40.50%,68.12%,105.50%,127.77%,---,7.63%,128.84%,105.4957%,0.15%
007193,恒越核心精选混合C,2.2935,2.2935,0.66%,10.38%,26.07%,40.43%,67.95%,105.11%,---,---,7.63%,104.5029%,105.1063%,0.00%
000690,前海开源大海洋混合,2.2940,2.2940,0.70%,13.68%,26.04%,34.47%,82.06%,82.35%,193.35%,141.73%,8.72%,129.40%,82.3529%,0.15%
000689,前海开源新经济混合,1.7840,1.8940,-0.11%,8.52%,25.99%,34.64%,36.50%,67.51%,101.13%,60.87%,5.69%,96.0634%,67.5117%,0.15%
004698,博时军工主题股票,2.1730,2.1730,0.05%,10.70%,25.97%,32.10%,79.74%,110.15%,180.03%,112.83%,7.10%,117.30%,110.1547%,0.15%
217020,招商安达灵活配置混合,3.1169,3.4148,0.79%,11%,25.95%,32.06%,46.64%,88.46%,223.10%,135.83%,8.46%,304.5358%,88.4576%,0.15%
001874,前海开源沪港深价值精选混合,2.4260,2.5960,2.58%,10.98%,25.83%,35.91%,39.43%,72.18%,169.26%,129.19%,8.01%,182.4584%,72.1789%,0.15%
005630,华安研究精选混合,2.5231,2.7644,0.64%,12.10%,25.72%,29.85%,41.56%,103.57%,266.11%,---,9.36%,182.0886%,103.5712%,0.15%
519095,新华行业周期轮换混合,4.2160,5.1160,-0.07%,9.82%,25.70%,41.52%,49.13%,90.68%,192.57%,121.43%,7.55%,466.0385%,90.6829%,0.15%
165516,信诚周期轮动混合(LOF),4.8550,5.9940,0.33%,10.24%,25.69%,41.87%,67.34%,120.33%,275.30%,158.39%,7.51%,595.8388%,120.3336%,0.15%
005449,华夏行业龙头混合,1.8183,1.8183,1.12%,9.83%,25.69%,37.70%,47.16%,67.76%,120.77%,---,7.38%,81.83%,67.7553%,0.15%
005609,富国军工主题混合A,2.2766,2.2766,1.82%,13.34%,25.65%,33.36%,66.63%,111.09%,194.86%,---,9.63%,127.66%,111.0895%,0.15%
006266,永赢智能领先混合A,2.5513,2.5513,0.07%,8.52%,25.64%,38.73%,58.53%,91.78%,---,---,5.40%,155.13%,91.7838%,0.15%
006269,永赢智能领先混合C,2.5376,2.5376,0.07%,8.51%,25.62%,38.65%,58.38%,91.42%,---,---,5.40%,153.76%,91.4159%,0.00%
001261,中融新机遇混合,1.4370,1.4370,1.27%,14.14%,25.61%,24.20%,23.99%,39.79%,75.03%,43.56%,9.86%,43.70%,39.7860%,0.15%
377240,上投摩根新兴动力混合A,6.3590,6.3590,0.57%,12.23%,25.57%,27.59%,29.30%,86.75%,243.54%,109.73%,10.46%,535.90%,86.7548%,0.15%
001679,前海开源中国稀缺资产混合A,3.3450,3.3450,1.39%,9.60%,25.56%,38%,51.63%,133.59%,304.96%,308.42%,7.21%,234.50%,133.5894%,0.15%
